CAT,PRICE,value,date
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.4,2023-11-15
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,6,2023-11-15
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,7,2023-11-15
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,6.8,2023-11-15
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,6,2023-11-15
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,7,2023-11-15
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,6.8,2023-11-15
Αρνιά γαλακτος,ΚΑΤΩΤΕΡΗ,5.5,2017-12-22
Αρνιά γαλακτος,ΑΝΩΤΕΡΗ,6.5,2017-12-22
Αρνιά γαλακτος,ΕΠΙΚΡΑΤΟΥΣΑ,6.2,2017-12-22
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,5,2017-12-22
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,5.2,2017-12-22
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,5.1,2017-12-22
Κατσίκια,ΚΑΤΩΤΕΡΗ,6.6,2017-12-22
Κατσίκια,ΑΝΩΤΕΡΗ,7.2,2017-12-22
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7,2017-12-22
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.8,2017-12-22
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.5,2017-12-22
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2017-12-22
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.35,2017-12-22
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.5,2017-12-22
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.45,2017-12-22
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2017-12-22
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3,2017-12-22
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2017-12-22
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.25,2017-12-22
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.45,2017-12-22
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.35,2017-12-22
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.7,2017-12-22
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.9,2017-12-22
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2017-12-22
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5,2017-12-22
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2017-12-22
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2017-12-22
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,4.8,2017-12-22
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2017-12-22
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2017-12-22
Γαλοπούλες εγχώριες,ΚΑΤΩΤΕΡΗ,5,2017-12-22
Γαλοπούλες εγχώριες,ΑΝΩΤΕΡΗ,5.5,2017-12-22
Γαλοπούλες εγχώριες,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2017-12-22
Γαλοπούλες εξωτερικού,ΚΑΤΩΤΕΡΗ,4,2017-12-22
Γαλοπούλες εξωτερικού,ΑΝΩΤΕΡΗ,4.1,2017-12-22
Γαλοπούλες εξωτερικού,ΕΠΙΚΡΑΤΟΥΣΑ,4,2017-12-22
Χοιρίδια εγχώρια,ΚΑΤΩΤΕΡΗ,5.8,2017-12-22
Χοιρίδια εγχώρια,ΑΝΩΤΕΡΗ,7.8,2017-12-22
Χοιρίδια εγχώρια,ΕΠΙΚΡΑΤΟΥΣΑ,7,2017-12-22
Χοιρίδια εξωτερικου,ΚΑΤΩΤΕΡΗ,4.5,2017-12-22
Χοιρίδια εξωτερικου,ΑΝΩΤΕΡΗ,5.8,2017-12-22
Χοιρίδια εξωτερικου,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2017-12-22
Αρνιά γαλακτος,ΚΑΤΩΤΕΡΗ,5.6,2017-12-27
Αρνιά γαλακτος,ΑΝΩΤΕΡΗ,6.5,2017-12-27
Αρνιά γαλακτος,ΕΠΙΚΡΑΤΟΥΣΑ,6.2,2017-12-27
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,5,2017-12-27
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,5.2,2017-12-27
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,5.1,2017-12-27
Κατσίκια,ΚΑΤΩΤΕΡΗ,6.6,2017-12-27
Κατσίκια,ΑΝΩΤΕΡΗ,7.2,2017-12-27
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,7,2017-12-27
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.8,2017-12-27
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3.5,2017-12-27
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,3.2,2017-12-27
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.35,2017-12-27
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.5,2017-12-27
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.45,2017-12-27
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.8,2017-12-27
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3,2017-12-27
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.9,2017-12-27
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.25,2017-12-27
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.45,2017-12-27
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.35,2017-12-27
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.7,2017-12-27
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.9,2017-12-27
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2017-12-27
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5,2017-12-27
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2017-12-27
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2017-12-27
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,4.8,2017-12-27
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2017-12-27
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2017-12-27
Γαλοπούλες εγχώριες,ΚΑΤΩΤΕΡΗ,5,2017-12-27
Γαλοπούλες εγχώριες,ΑΝΩΤΕΡΗ,5.5,2017-12-27
Γαλοπούλες εγχώριες,ΕΠΙΚΡΑΤΟΥΣΑ,5.2,2017-12-27
Γαλοπούλες εξωτερικού,ΚΑΤΩΤΕΡΗ,4,2017-12-27
Γαλοπούλες εξωτερικού,ΑΝΩΤΕΡΗ,4.5,2017-12-27
Γαλοπούλες εξωτερικού,ΕΠΙΚΡΑΤΟΥΣΑ,4.2,2017-12-27
Χοιρίδια εγχώρια,ΚΑΤΩΤΕΡΗ,5.8,2017-12-27
Χοιρίδια εγχώρια,ΑΝΩΤΕΡΗ,7.5,2017-12-27
Χοιρίδια εγχώρια,ΕΠΙΚΡΑΤΟΥΣΑ,7,2017-12-27
Αρνιά,ΚΑΤΩΤΕΡΗ,5.2,2018-05-30
Αρνιά,ΑΝΩΤΕΡΗ,5.6,2018-05-30
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2018-05-30
Αρνια 12 - 14,ΚΑΤΩΤΕΡΗ,4.8,2018-05-30
Αρνια 12 - 14,ΑΝΩΤΕΡΗ,5.2,2018-05-30
Αρνια 12 - 14,ΕΠΙΚΡΑΤΟΥΣΑ,5,2018-05-30
Αρνιά Fyrom,ΚΑΤΩΤΕΡΗ,5.2,2018-05-30
Αρνιά Fyrom,ΑΝΩΤΕΡΗ,5.3,2018-05-30
Αρνιά Fyrom,ΕΠΙΚΡΑΤΟΥΣΑ,5.25,2018-05-30
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,5,2018-05-30
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,5.2,2018-05-30
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,5.1,2018-05-30
Κατσίκια,ΚΑΤΩΤΕΡΗ,5,2018-05-30
Κατσίκια,ΑΝΩΤΕΡΗ,5.8,2018-05-30
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-05-30
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2018-05-30
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3,2018-05-30
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2018-05-30
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.2,2018-05-30
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-05-30
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.3,2018-05-30
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.6,2018-05-30
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.8,2018-05-30
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.7,2018-05-30
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.2,2018-05-30
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-05-30
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.3,2018-05-30
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.6,2018-05-30
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.8,2018-05-30
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.7,2018-05-30
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5,2018-05-30
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2018-05-30
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2018-05-30
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,4.8,2018-05-30
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2018-05-30
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-05-30
Αρνιά,ΚΑΤΩΤΕΡΗ,5.2,2018-06-01
Αρνιά,ΑΝΩΤΕΡΗ,5.6,2018-06-01
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2018-06-01
Αρνια 12 - 14,ΚΑΤΩΤΕΡΗ,4.8,2018-06-01
Αρνια 12 - 14,ΑΝΩΤΕΡΗ,5.2,2018-06-01
Αρνια 12 - 14,ΕΠΙΚΡΑΤΟΥΣΑ,5,2018-06-01
Αρνιά Fyrom,ΚΑΤΩΤΕΡΗ,5.2,2018-06-01
Αρνιά Fyrom,ΑΝΩΤΕΡΗ,5.3,2018-06-01
Αρνιά Fyrom,ΕΠΙΚΡΑΤΟΥΣΑ,5.25,2018-06-01
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,5,2018-06-01
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,5.2,2018-06-01
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,5.1,2018-06-01
Κατσίκια,ΚΑΤΩΤΕΡΗ,5,2018-06-01
Κατσίκια,ΑΝΩΤΕΡΗ,5.8,2018-06-01
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-06-01
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2018-06-01
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3,2018-06-01
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2018-06-01
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.2,2018-06-01
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-06-01
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.3,2018-06-01
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.6,2018-06-01
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.8,2018-06-01
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.7,2018-06-01
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.2,2018-06-01
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-06-01
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.3,2018-06-01
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.6,2018-06-01
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.8,2018-06-01
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.7,2018-06-01
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5,2018-06-01
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2018-06-01
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2018-06-01
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,4.8,2018-06-01
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2018-06-01
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-06-01
Αρνιά,ΚΑΤΩΤΕΡΗ,5.3,2018-06-04
Αρνιά,ΑΝΩΤΕΡΗ,5.6,2018-06-04
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2018-06-04
Αρνια 12 - 14,ΚΑΤΩΤΕΡΗ,4.8,2018-06-04
Αρνια 12 - 14,ΑΝΩΤΕΡΗ,5.2,2018-06-04
Αρνια 12 - 14,ΕΠΙΚΡΑΤΟΥΣΑ,5,2018-06-04
Αρνιά Fyrom,ΚΑΤΩΤΕΡΗ,5.2,2018-06-04
Αρνιά Fyrom,ΑΝΩΤΕΡΗ,5.3,2018-06-04
Αρνιά Fyrom,ΕΠΙΚΡΑΤΟΥΣΑ,5.25,2018-06-04
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,5,2018-06-04
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,5.4,2018-06-04
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,5.2,2018-06-04
Κατσίκια,ΚΑΤΩΤΕΡΗ,5.3,2018-06-04
Κατσίκια,ΑΝΩΤΕΡΗ,5.8,2018-06-04
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2018-06-04
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2018-06-04
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3,2018-06-04
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2018-06-04
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.3,2018-06-04
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.45,2018-06-04
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.35,2018-06-04
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.7,2018-06-04
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.9,2018-06-04
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2018-06-04
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.2,2018-06-04
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-06-04
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.3,2018-06-04
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.6,2018-06-04
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.8,2018-06-04
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.7,2018-06-04
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5,2018-06-04
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2018-06-04
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2018-06-04
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,4.8,2018-06-04
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2018-06-04
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-06-04
Αρνιά,ΚΑΤΩΤΕΡΗ,5.2,2018-06-06
Αρνιά,ΑΝΩΤΕΡΗ,5.5,2018-06-06
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-06-06
Αρνια 12 - 14,ΚΑΤΩΤΕΡΗ,4.8,2018-06-06
Αρνια 12 - 14,ΑΝΩΤΕΡΗ,5.2,2018-06-06
Αρνια 12 - 14,ΕΠΙΚΡΑΤΟΥΣΑ,5,2018-06-06
Αρνιά Fyrom,ΚΑΤΩΤΕΡΗ,5.2,2018-06-06
Αρνιά Fyrom,ΑΝΩΤΕΡΗ,5.3,2018-06-06
Αρνιά Fyrom,ΕΠΙΚΡΑΤΟΥΣΑ,5.25,2018-06-06
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,5,2018-06-06
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,5.4,2018-06-06
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,5.2,2018-06-06
Κατσίκια,ΚΑΤΩΤΕΡΗ,5,2018-06-06
Κατσίκια,ΑΝΩΤΕΡΗ,5.6,2018-06-06
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-06-06
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2018-06-06
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3,2018-06-06
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2018-06-06
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.3,2018-06-06
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-06-06
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.35,2018-06-06
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.7,2018-06-06
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.9,2018-06-06
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2018-06-06
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.2,2018-06-06
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-06-06
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.3,2018-06-06
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.6,2018-06-06
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.8,2018-06-06
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.7,2018-06-06
Μοσχάρια εγχώρια 4/μορια,ΚΑΤΩΤΕΡΗ,5,2018-06-06
Μοσχάρια εγχώρια 4/μορια,ΑΝΩΤΕΡΗ,5.6,2018-06-06
Μοσχάρια εγχώρια 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.4,2018-06-06
Μοσχάρια εξωτερικού 4/μορια,ΚΑΤΩΤΕΡΗ,4.9,2018-06-06
Μοσχάρια εξωτερικού 4/μορια,ΑΝΩΤΕΡΗ,5.5,2018-06-06
Μοσχάρια εξωτερικού 4/μορια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-06-06
Αρνιά,ΚΑΤΩΤΕΡΗ,5.2,2018-06-08
Αρνιά,ΑΝΩΤΕΡΗ,5.5,2018-06-08
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-06-08
Αρνια 12 - 14,ΚΑΤΩΤΕΡΗ,4.8,2018-06-08
Αρνια 12 - 14,ΑΝΩΤΕΡΗ,5.2,2018-06-08
Αρνια 12 - 14,ΕΠΙΚΡΑΤΟΥΣΑ,5,2018-06-08
Αρνιά Fyrom,ΚΑΤΩΤΕΡΗ,5.2,2018-06-08
Αρνιά Fyrom,ΑΝΩΤΕΡΗ,5.3,2018-06-08
Αρνιά Fyrom,ΕΠΙΚΡΑΤΟΥΣΑ,5.25,2018-06-08
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,5,2018-06-08
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,5.4,2018-06-08
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,5.2,2018-06-08
Κατσίκια,ΚΑΤΩΤΕΡΗ,5,2018-06-08
Κατσίκια,ΑΝΩΤΕΡΗ,5.6,2018-06-08
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,5.3,2018-06-08
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,2.5,2018-06-08
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,3,2018-06-08
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2018-06-08
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.3,2018-06-08
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-06-08
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.35,2018-06-08
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.7,2018-06-08
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.9,2018-06-08
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.8,2018-06-08
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,2.2,2018-06-08
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,2.4,2018-06-08
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.3,2018-06-08
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,2.6,2018-06-08
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,2.8,2018-06-08
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,2.7,2018-06-08
